Charmrun> scalable start enabled. 
Charmrun> started all node programs in 0.008 seconds.
Charm++> Running in non-SMP mode: numPes 10
Converse/Charm++ Commit ID: v6.7.0-503-g4facdc6f2
Charm++> scheduler running in netpoll mode.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 1 unique compute nodes (8-way SMP).
Charm++> cpu topology info is gathered in 0.010 seconds.
[Main] Library array created and proxy obtained
10 has 1 buffer msgs
[Main] Inverted trees constructed. Notify library to perform components detection
[Main] Components identified, prune unecessary ones now
[tp3] myVertices[89] - vertexID: 1812, parent: -1, component: -1
[tp4] myVertices[80] - vertexID: 2377, parent: -1, component: -1
[tp4] myVertices[81] - vertexID: 2378, parent: -1, component: -1
[tp4] myVertices[82] - vertexID: 2379, parent: -1, component: -1
[tp4] myVertices[83] - vertexID: 2380, parent: -1, component: -1
[tp4] myVertices[84] - vertexID: 2381, parent: -1, component: -1
[tp4] myVertices[85] - vertexID: 2382, parent: -1, component: -1
[tp4] myVertices[86] - vertexID: 2383, parent: -1, component: -1
[tp4] myVertices[87] - vertexID: 2384, parent: -1, component: -1
[tp4] myVertices[88] - vertexID: 2385, parent: -1, component: -1
[tp4] myVertices[89] - vertexID: 2386, parent: -1, component: -1
[tp2] myVertices[0] - vertexID: 1149, parent: -1, component: -1
[tp2] myVertices[1] - vertexID: 1150, parent: -1, component: -1
[tp2] myVertices[2] - vertexID: 1151, parent: 1152, component: 1159
[tp2] myVertices[3] - vertexID: 1152, parent: 1153, component: 1159
[tp2] myVertices[4] - vertexID: 1153, parent: 1155, component: 1159
[tp2] myVertices[5] - vertexID: 1154, parent: 1160, component: 1159
[tp2] myVertices[6] - vertexID: 1155, parent: 1154, component: 1159
[tp2] myVertices[7] - vertexID: 1156, parent: 1157, component: 1159
[tp2] myVertices[8] - vertexID: 1157, parent: 1158, component: 1159
[tp2] myVertices[9] - vertexID: 1158, parent: 1159, component: 1159
[tp0] myVertices[88] - vertexID: 89, parent: 91, component: 134
[tp0] myVertices[89] - vertexID: 90, parent: 96, component: 134
[tp0] myVertices[90] - vertexID: 91, parent: 90, component: 134
[tp0] myVertices[91] - vertexID: 92, parent: 97, component: 134
[tp0] myVertices[92] - vertexID: 93, parent: 98, component: 134
[tp0] myVertices[93] - vertexID: 94, parent: 95, component: 134
[tp0] myVertices[94] - vertexID: 95, parent: 99, component: 134
[tp0] myVertices[95] - vertexID: 96, parent: 92, component: 134
[tp0] myVertices[96] - vertexID: 97, parent: 93, component: 134
[tp0] myVertices[97] - vertexID: 98, parent: 100, component: 134
[tp3] myVertices[90] - vertexID: 1813, parent: -1, component: -1
[tp3] myVertices[91] - vertexID: 1814, parent: -1, component: -1
[tp3] myVertices[92] - vertexID: 1815, parent: -1, component: -1
[tp3] myVertices[93] - vertexID: 1816, parent: -1, component: -1
[tp3] myVertices[94] - vertexID: 1817, parent: -1, component: -1
[tp3] myVertices[95] - vertexID: 1818, parent: -1, component: -1
[tp3] myVertices[96] - vertexID: 1819, parent: -1, component: -1
[tp3] myVertices[97] - vertexID: 1820, parent: -1, component: -1
[tp3] myVertices[98] - vertexID: 1821, parent: -1, component: -1
[tp3] myVertices[99] - vertexID: 1822, parent: -1, component: -1
[tp4] myVertices[90] - vertexID: 2387, parent: -1, component: -1
[tp4] myVertices[91] - vertexID: 2388, parent: -1, component: -1
[tp4] myVertices[92] - vertexID: 2389, parent: -1, component: -1
[tp4] myVertices[93] - vertexID: 2390, parent: -1, component: -1
[tp4] myVertices[94] - vertexID: 2391, parent: -1, component: -1
[tp4] myVertices[95] - vertexID: 2392, parent: -1, component: -1
[tp4] myVertices[96] - vertexID: 2393, parent: -1, component: -1
[tp4] myVertices[97] - vertexID: 2394, parent: -1, component: -1
[tp4] myVertices[98] - vertexID: 2395, parent: -1, component: -1
[tp4] myVertices[99] - vertexID: 2396, parent: -1, component: -1
[tp2] myVertices[10] - vertexID: 1159, parent: -1, component: 1159
[tp2] myVertices[11] - vertexID: 1160, parent: 1156, component: 1159
[tp2] myVertices[12] - vertexID: 1161, parent: 1162, component: 1324
[tp2] myVertices[13] - vertexID: 1162, parent: 1164, component: 1324
[tp2] myVertices[14] - vertexID: 1163, parent: 1168, component: 1324
[tp2] myVertices[15] - vertexID: 1164, parent: 1163, component: 1324
[tp2] myVertices[16] - vertexID: 1165, parent: 1169, component: 1324
[tp2] myVertices[17] - vertexID: 1166, parent: 1170, component: 1324
[tp2] myVertices[18] - vertexID: 1167, parent: 1171, component: 1324
[tp2] myVertices[19] - vertexID: 1168, parent: 1165, component: 1324
[tp0] myVertices[98] - vertexID: 99, parent: 104, component: 134
[tp0] myVertices[99] - vertexID: 100, parent: 94, component: 134
[tp0] myVertices[100] - vertexID: 101, parent: 105, component: 134
[tp0] myVertices[101] - vertexID: 102, parent: 103, component: 134
[tp0] myVertices[102] - vertexID: 103, parent: 106, component: 134
[tp0] myVertices[103] - vertexID: 104, parent: 101, component: 134
[tp0] myVertices[104] - vertexID: 105, parent: 102, component: 134
[tp0] myVertices[105] - vertexID: 106, parent: 108, component: 134
[tp0] myVertices[106] - vertexID: 107, parent: 109, component: 134
[tp0] myVertices[107] - vertexID: 108, parent: 107, component: 134
[tp3] myVertices[100] - vertexID: 1823, parent: -1, component: -1
[tp3] myVertices[101] - vertexID: 1824, parent: -1, component: -1
[tp3] myVertices[102] - vertexID: 1825, parent: -1, component: -1
[tp3] myVertices[103] - vertexID: 1826, parent: -1, component: -1
[tp3] myVertices[104] - vertexID: 1827, parent: -1, component: -1
[tp3] myVertices[105] - vertexID: 1828, parent: -1, component: -1
[tp3] myVertices[106] - vertexID: 1829, parent: -1, component: -1
[tp3] myVertices[107] - vertexID: 1830, parent: -1, component: -1
[tp3] myVertices[108] - vertexID: 1831, parent: -1, component: -1
[tp3] myVertices[109] - vertexID: 1832, parent: -1, component: -1
[tp4] myVertices[100] - vertexID: 2397, parent: -1, component: -1
[tp4] myVertices[101] - vertexID: 2398, parent: -1, component: -1
[tp4] myVertices[102] - vertexID: 2399, parent: -1, component: -1
[tp4] myVertices[103] - vertexID: 2400, parent: -1, component: -1
[tp4] myVertices[104] - vertexID: 2401, parent: -1, component: -1
[tp4] myVertices[105] - vertexID: 2402, parent: -1, component: -1
[tp4] myVertices[106] - vertexID: 2403, parent: -1, component: -1
[tp4] myVertices[107] - vertexID: 2404, parent: -1, component: -1
[tp4] myVertices[108] - vertexID: 2405, parent: -1, component: -1
[tp4] myVertices[109] - vertexID: 2406, parent: -1, component: -1
[tp2] myVertices[20] - vertexID: 1169, parent: 1166, component: 1324
[tp2] myVertices[21] - vertexID: 1170, parent: 1172, component: 1324
[tp2] myVertices[22] - vertexID: 1171, parent: 1176, component: 1324
[tp2] myVertices[23] - vertexID: 1172, parent: 1167, component: 1324
[tp2] myVertices[24] - vertexID: 1173, parent: 1177, component: 1324
[tp2] myVertices[25] - vertexID: 1174, parent: 1175, component: 1324
[tp2] myVertices[26] - vertexID: 1175, parent: 1178, component: 1324
[tp2] myVertices[27] - vertexID: 1176, parent: 1173, component: 1324
[tp2] myVertices[28] - vertexID: 1177, parent: 1174, component: 1324
[tp2] myVertices[29] - vertexID: 1178, parent: 1180, component: 1324
[tp0] myVertices[108] - vertexID: 109, parent: 110, component: 134
[tp0] myVertices[109] - vertexID: 110, parent: 111, component: 134
[tp0] myVertices[110] - vertexID: 111, parent: 113, component: 134
[tp0] myVertices[111] - vertexID: 112, parent: 117, component: 134
[tp0] myVertices[112] - vertexID: 113, parent: 112, component: 134
[tp0] myVertices[113] - vertexID: 114, parent: 118, component: 134
[tp0] myVertices[114] - vertexID: 115, parent: 116, component: 134
[tp0] myVertices[115] - vertexID: 116, parent: 119, component: 134
[tp0] myVertices[116] - vertexID: 117, parent: 114, component: 134
[tp0] myVertices[117] - vertexID: 118, parent: 115, component: 134
[tp3] myVertices[110] - vertexID: 1833, parent: -1, component: -1
[tp3] myVertices[111] - vertexID: 1834, parent: -1, component: -1
[tp3] myVertices[112] - vertexID: 1835, parent: -1, component: -1
[tp3] myVertices[113] - vertexID: 1836, parent: -1, component: -1
